sentDate
8/13/11 20:16
8/17/11 12:57
8/17/11 12:58
8/17/11 13:28
8/17/11 13:32
8/17/11 14:17
8/17/11 14:30
8/17/11 14:37
8/17/11 16:24
8/17/11 18:45
8/19/11 10:58
8/23/11 13:58
8/24/11 23:22
8/30/11 13:35
8/30/11 13:38
8/30/11 15:17
8/31/11 10:48
8/31/11 11:10
8/31/11 16:01
8/31/11 16:46
8/31/11 17:42
8/31/11 19:13
8/31/11 23:15
9/1/11 14:33
9/1/11 14:34
9/1/11 14:53
9/1/11 16:44
9/1/11 21:47
9/1/11 22:07
9/1/11 22:15
9/1/11 22:16
9/1/11 23:02
9/1/11 23:27
9/2/11 13:12
9/3/11 20:14
9/3/11 20:17
9/5/11 19:18
9/5/11 19:33
9/6/11 8:38
9/6/11 11:35
9/6/11 17:18
9/8/11 16:19
9/8/11 16:23
9/8/11 16:26
9/8/11 20:25
9/8/11 21:11
9/8/11 22:19
9/9/11 18:57
9/9/11 19:00
9/10/11 16:11
9/10/11 21:19
9/11/11 1:54
9/11/11 13:02
9/12/11 15:21
9/12/11 23:44
9/13/11 16:28
9/14/11 13:07
9/14/11 18:54
9/15/11 23:14
9/16/11 1:43
9/16/11 13:15
9/16/11 13:15
9/16/11 22:46
9/17/11 12:06
9/17/11 12:55
9/18/11 17:14
9/19/11 1:25
9/19/11 13:32
9/19/11 17:16
9/19/11 17:26
9/20/11 13:12
9/20/11 13:17
9/20/11 22:40
9/22/11 17:00
9/22/11 19:03
9/22/11 23:33
9/23/11 22:16
9/23/11 22:50
9/26/11 9:16
9/26/11 10:33
9/26/11 11:12
9/26/11 11:16
9/26/11 11:17
9/26/11 11:53
9/26/11 16:37
9/26/11 16:40
9/26/11 16:54
9/26/11 20:04
9/28/11 0:15
9/28/11 0:19
9/28/11 12:10
9/28/11 17:26
9/28/11 17:35
9/28/11 18:10
9/28/11 23:40
9/28/11 23:49
9/28/11 23:50
9/29/11 10:45
10/5/11 16:39
10/5/11 16:55
10/5/11 17:10
10/6/11 18:27
10/12/11 6:14
10/12/11 6:15
10/12/11 8:46
10/13/11 9:51
10/14/11 2:27
10/14/11 2:48
10/14/11 5:51
10/14/11 5:53
10/14/11 7:29
10/14/11 8:45
10/15/11 5:25
10/15/11 5:33
10/16/11 5:03
10/16/11 5:29
10/16/11 9:13
10/17/11 16:13
10/19/11 7:48
10/19/11 7:50
10/19/11 7:54
10/19/11 8:51
10/19/11 8:51
10/19/11 8:52
10/19/11 8:53
10/19/11 12:02
10/19/11 12:03
10/19/11 12:29
10/19/11 14:50
10/19/11 15:40
10/19/11 15:51
10/19/11 17:06
10/21/11 8:05
10/21/11 14:13
10/21/11 14:18
10/21/11 14:32
10/21/11 15:58
10/21/11 16:15
10/21/11 16:28
10/22/11 14:15
10/23/11 12:12
10/23/11 21:05
10/23/11 22:01
10/23/11 22:29
10/24/11 19:55
10/25/11 11:19
10/25/11 17:54
10/25/11 17:55
10/25/11 18:06
10/25/11 18:06
10/25/11 20:50
10/25/11 21:52
10/25/11 22:59
10/25/11 23:38
10/26/11 0:07
10/27/11 6:29
10/28/11 13:02
10/28/11 15:59
10/28/11 16:00
10/30/11 20:43
10/30/11 20:45
10/30/11 23:17
10/30/11 23:49
10/31/11 13:32
10/31/11 13:51
10/31/11 14:56
10/31/11 14:58
10/31/11 15:34
10/31/11 15:57
10/31/11 16:24
10/31/11 21:30
11/1/11 19:30
11/3/11 8:59
11/3/11 13:46
11/5/11 9:41
11/5/11 10:02
11/5/11 11:49
11/5/11 16:40
11/5/11 17:50
11/7/11 10:36
11/7/11 11:24
11/7/11 11:58
11/7/11 12:01
11/7/11 12:17
11/7/11 17:20
11/7/11 19:58
11/7/11 22:58
11/8/11 12:10
11/8/11 12:11
11/8/11 12:17
11/8/11 12:18
11/8/11 12:28
11/8/11 13:12
11/8/11 13:29
11/8/11 15:04
11/8/11 23:08
11/9/11 11:36
11/9/11 14:03
11/11/11 21:41
11/11/11 21:41
11/12/11 10:36
11/12/11 15:06
11/13/11 20:30
11/15/11 23:44
11/16/11 0:36
11/16/11 0:39
11/16/11 14:18
11/16/11 14:18
11/16/11 14:41
11/16/11 14:48
11/16/11 22:12
11/16/11 23:44
11/17/11 14:26
11/18/11 8:32
11/18/11 19:00
11/25/11 16:35
11/25/11 16:36
11/25/11 21:29
11/25/11 21:42
11/27/11 13:28
11/27/11 13:43
11/28/11 10:00
11/28/11 11:52
11/28/11 15:49
11/28/11 15:49
